date,market,stock_no,stock_name,foreign_buy,foreign_sell,foreign_net,foreign_dealer_buy,foreign_dealer_sell,foreign_dealer_net,foreign_total_buy,foreign_total_sell,foreign_total_net,investment_trust_buy,investment_trust_sell,investment_trust_net,dealer_self_buy,dealer_self_sell,dealer_self_net,dealer_hedge_buy,dealer_hedge_sell,dealer_hedge_net,dealer_total_buy,dealer_total_sell,dealer_total_net,overall_net
2025-11-10,TPEX,00955,中信日本商社,241000,290000,-49000,0,0,0,241000,290000,-49000,0,0,0,0,145000,-145000,1866000,2299236,-433236,1866000,2444236,-578236,-627236
2025-11-10,TPEX,00957B,兆豐US優選投等債,0,54000,-54000,0,0,0,0,54000,-54000,0,0,0,0,0,0,294000,708130,-414130,294000,708130,-414130,-468130
2025-11-10,TPEX,00958B,永豐ESG銀行債15+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236223,574334,-338111,236223,574334,-338111,-338111
2025-11-10,TPEX,00959B,大華投等美債15Y+,124000,585000,-461000,0,0,0,124000,585000,-461000,0,0,0,0,0,0,1315000,69434,1245566,1315000,69434,1245566,784566
2025-11-10,TPEX,00966B,統一ESG投等債15+,0,110000,-110000,0,0,0,0,110000,-110000,0,0,0,0,0,0,647000,510700,136300,647000,510700,136300,26300
2025-11-10,TPEX,00967B,元大優息美債,6000,9000,-3000,0,0,0,6000,9000,-3000,0,0,0,0,0,0,1467000,156877,1310123,1467000,156877,1310123,1307123
2025-11-10,TPEX,00968B,元大優息投等債,539000,908000,-369000,0,0,0,539000,908000,-369000,0,0,0,0,0,0,2088000,567735,1520265,2088000,567735,1520265,1151265
2025-11-10,TPEX,00969B,元大零息超長美債,125000,247000,-122000,0,0,0,125000,247000,-122000,0,0,0,0,0,0,3117000,767041,2349959,3117000,767041,2349959,2227959
2025-11-10,TPEX,00970B,新光BBB投等債20+,532000,2000,530000,0,0,0,532000,2000,530000,0,0,0,0,0,0,1381000,92877,1288123,1381000,92877,1288123,1818123
2025-11-10,TPEX,009806,台新標普500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240645,204693,35952,240645,204693,35952,35952
2025-11-10,TPEX,009807,台新標普科技精選,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68749,12660,56089,68749,12660,56089,56089
2025-11-10,TPEX,00980B,台新特選IG債10+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387000,334625,52375,387000,334625,52375,52375
2025-11-10,TPEX,00980D,主動聯博投等入息,8000,6000,2000,0,0,0,8000,6000,2000,350000,0,350000,0,0,0,2099565,2651267,-551702,2099565,2651267,-551702,-199702
2025-11-10,TPEX,00980T,平衡凱基美國TOP,587300,34000,553300,0,0,0,587300,34000,553300,0,0,0,0,0,0,631000,636988,-5988,631000,636988,-5988,547312
2025-11-10,TPEX,00981B,第一金優選非投債,2684000,1559000,1125000,0,0,0,2684000,1559000,1125000,0,0,0,0,0,0,2626000,3873812,-1247812,2626000,3873812,-1247812,-122812
2025-11-10,TPEX,00981D,主動中信非投等債,440000,46000,394000,0,0,0,440000,46000,394000,0,0,0,0,0,0,3097971,2249656,848315,3097971,2249656,848315,1242315
2025-11-10,TPEX,00982B,FT投資級債20+,0,6000,-6000,0,0,0,0,6000,-6000,0,0,0,0,0,0,282000,267850,14150,282000,267850,14150,8150
2025-11-10,TPEX,00983B,大華優利美公債20,0,24000,-24000,0,0,0,0,24000,-24000,0,0,0,0,0,0,2893056,2808185,84871,2893056,2808185,84871,60871
2025-11-10,TPEX,00984B,大華優利美A債15,0,23000,-23000,0,0,0,0,23000,-23000,0,0,0,0,0,0,2644550,2557025,87525,2644550,2557025,87525,64525
2025-11-10,TPEX,00986B,FT金融債10+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245000,299000,-54000,245000,299000,-54000,-54000
2025-11-10,TPEX,020001,富邦存股雙十N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,20000,20000,0,20000,20000
2025-11-10,TPEX,02001B,統一美國政府債N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,2000,1000,3000,2000,1000,1000
2025-11-10,TPEX,020023,元大櫃買半導體N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,0,17000,17000,0,17000,17000
2025-11-10,TPEX,020025,統一亞洲半導體N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,70000,-58000,12000,70000,-58000,-58000
2025-11-10,TPEX,020027,元大上櫃ESG成長N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,1000,6000,7000,1000,6000,6000
2025-11-10,TPEX,020033,統一恒生科期N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,9000,6000,15000,9000,6000,6000
2025-11-10,TPEX,020035,元大上櫃ESG高息N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,-16000,0,16000,-16000,-16000
2025-11-10,TPEX,1240,茂生農經,3000,1000,2000,0,0,0,3000,1000,2000,0,0,0,0,0,0,0,0,0,0,0,0,2000
2025-11-10,TPEX,1264,德麥,0,3000,-3000,0,0,0,0,3000,-3000,0,0,0,0,0,0,0,0,0,0,0,0,-3000
2025-11-10,TPEX,1268,漢來美食,1000,38000,-37000,0,0,0,1000,38000,-37000,0,0,0,0,0,0,0,0,0,0,0,0,-37000
2025-11-10,TPEX,1294,漢田生技,1000,0,1000,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,1000
2025-11-10,TPEX,1295,生合,96000,39000,57000,0,0,0,96000,39000,57000,0,0,0,0,0,0,0,102,-102,0,102,-102,56898
2025-11-10,TPEX,1336,台翰,22000,150000,-128000,0,0,0,22000,150000,-128000,0,0,0,0,38000,-38000,0,0,0,0,38000,-38000,-166000
2025-11-10,TPEX,1565,精華,25000,113000,-88000,0,0,0,25000,113000,-88000,0,0,0,1000,0,1000,0,0,0,1000,0,1000,-87000
2025-11-10,TPEX,1569,濱川,580000,624000,-44000,0,0,0,580000,624000,-44000,0,0,0,0,0,0,10000,11622,-1622,10000,11622,-1622,-45622
2025-11-10,TPEX,1570,力肯,251000,104000,147000,0,0,0,251000,104000,147000,0,0,0,0,0,0,0,0,0,0,0,0,147000
2025-11-10,TPEX,1580,新麥,0,9000,-9000,0,0,0,0,9000,-9000,0,0,0,2000,0,2000,0,0,0,2000,0,2000,-7000
2025-11-10,TPEX,1584,精剛,271000,438000,-167000,0,0,0,271000,438000,-167000,0,0,0,0,0,0,0,3281,-3281,0,3281,-3281,-170281
2025-11-10,TPEX,1586,和勤,45000,154000,-109000,0,0,0,45000,154000,-109000,0,0,0,0,0,0,0,0,0,0,0,0,-109000
2025-11-10,TPEX,1591,駿吉-KY,8000,75000,-67000,0,0,0,8000,75000,-67000,0,0,0,0,0,0,1000,1649,-649,1000,1649,-649,-67649
2025-11-10,TPEX,1593,祺驊,0,7000,-7000,0,0,0,0,7000,-7000,0,0,0,0,0,0,0,0,0,0,0,0,-7000
2025-11-10,TPEX,1595,川寶,16000,15000,1000,0,0,0,16000,15000,1000,0,0,0,21000,0,21000,0,644,-644,21000,644,20356,21356
2025-11-10,TPEX,1599,宏佳騰,1000,0,1000,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,1000
2025-11-10,TPEX,1777,生泰,1000,0,1000,0,0,0,1000,0,1000,0,0,0,0,0,0,0,89,-89,0,89,-89,911
2025-11-10,TPEX,1781,合世,2000,10000,-8000,0,0,0,2000,10000,-8000,0,0,0,0,0,0,1000,518,482,1000,518,482,-7518
2025-11-10,TPEX,1784,訊聯,153000,201000,-48000,0,0,0,153000,201000,-48000,0,0,0,0,0,0,15431,28117,-12686,15431,28117,-12686,-60686
2025-11-10,TPEX,1785,光洋科,1971000,866000,1105000,0,0,0,1971000,866000,1105000,0,0,0,10000,38150,-28150,10028,9727,301,20028,47877,-27849,1077151
2025-11-10,TPEX,1788,杏昌,1000,10000,-9000,0,0,0,1000,10000,-9000,0,0,0,0,4000,-4000,0,0,0,0,4000,-4000,-13000
2025-11-10,TPEX,1796,金穎生技,0,1000,-1000,0,0,0,0,1000,-1000,0,0,0,0,0,0,0,0,0,0,0,0,-1000
2025-11-10,TPEX,1799,易威,65000,152000,-87000,0,0,0,65000,152000,-87000,0,0,0,0,0,0,345,504,-159,345,504,-159,-87159
2025-11-10,TPEX,1815,富喬,24914923,39028025,-14113102,0,0,0,24914923,39028025,-14113102,0,0,0,555000,778000,-223000,246247,558760,-312513,801247,1336760,-535513,-14648615
2025-11-10,TPEX,2061,風青,77000,54000,23000,0,0,0,77000,54000,23000,0,0,0,0,5000,-5000,25000,25001,-1,25000,30001,-5001,17999
2025-11-10,TPEX,2064,晉椿,2000,0,2000,0,0,0,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,2000
2025-11-10,TPEX,2065,世豐,4000,0,4000,0,0,0,4000,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,4000
2025-11-10,TPEX,2066,世德,3000,20000,-17000,0,0,0,3000,20000,-17000,0,0,0,0,0,0,0,0,0,0,0,0,-17000
2025-11-10,TPEX,2067,嘉鋼,23000,14000,9000,0,0,0,23000,14000,9000,0,0,0,2347,0,2347,0,0,0,2347,0,2347,11347
2025-11-10,TPEX,2070,精湛,47000,25000,22000,0,0,0,47000,25000,22000,0,0,0,0,0,0,0,1,-1,0,1,-1,21999
2025-11-10,TPEX,2221,大甲,1000,1000,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-10,TPEX,2230,泰茂,43000,120000,-77000,0,0,0,43000,120000,-77000,0,0,0,0,0,0,33991,42199,-8208,33991,42199,-8208,-85208
2025-11-10,TPEX,2596,綠意,0,1000,-1000,0,0,0,0,1000,-1000,0,0,0,0,1000,-1000,0,0,0,0,1000,-1000,-2000
2025-11-10,TPEX,2640,大車隊,1000,1000,0,0,0,0,1000,1000,0,0,0,0,0,4000,-4000,0,0,0,0,4000,-4000,-4000
2025-11-10,TPEX,2641,正德,426000,1821000,-1395000,0,0,0,426000,1821000,-1395000,0,0,0,64000,82000,-18000,0,28752,-28752,64000,110752,-46752,-1441752
2025-11-10,TPEX,2643,捷迅,6000,5000,1000,0,0,0,6000,5000,1000,0,0,0,5000,0,5000,0,0,0,5000,0,5000,6000
2025-11-10,TPEX,2718,全心投控,3000,55000,-52000,0,0,0,3000,55000,-52000,0,0,0,10000,0,10000,0,0,0,10000,0,10000,-42000
2025-11-10,TPEX,2719,燦星旅,9000,0,9000,0,0,0,9000,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,9000
2025-11-10,TPEX,2726,雅茗-KY,5000,4000,1000,0,0,0,5000,4000,1000,0,0,0,0,0,0,0,0,0,0,0,0,1000
2025-11-10,TPEX,2729,瓦城,1000,2000,-1000,0,0,0,1000,2000,-1000,0,0,0,0,0,0,0,0,0,0,0,0,-1000
2025-11-10,TPEX,2732,六角,0,26000,-26000,0,0,0,0,26000,-26000,0,0,0,0,0,0,0,0,0,0,0,0,-26000
2025-11-10,TPEX,2734,易飛網,14000,17000,-3000,0,0,0,14000,17000,-3000,0,0,0,0,0,0,0,11,-11,0,11,-11,-3011
